Title,Company,Salary,Location,ExpireDate,Link,Description
Chuyên viên Phân tích Dữ liệu (Khối CNTT),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Lương: Cạnh tranh,Hà Nội,Hạn nộp: 31-12-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu-khoi-cntt.35C293A3.html,"Tốt nghiệp từ Đại học trở lên, chuyên ngành CNTT, Điện tử viễn thông hoặc các chuyên ngành tương đương; Kỹ năng: 
	
Thành thạo tối thiểu 1 công cụ quản lý, khai thác dữ liệu (PL SQL, NoSQL,…)
Thành thạo tối thiểu 01 công cụ chuyển đổi dữ liệu
Triển khai một trong các dự án Data Warehouse, Data Governance, Data Quality, Làm sạch dữ liệu, Data Management, Dự án chuyển đổi CoreBanking; Thành thạo tối thiểu 1 công cụ quản lý, khai thác dữ liệu (PL SQL, NoSQL,…); Thành thạo tối thiểu 01 công cụ chuyển đổi dữ liệu; Triển khai một trong các dự án Data Warehouse, Data Governance, Data Quality, Làm sạch dữ liệu, Data Management, Dự án chuyển đổi CoreBanking; Kinh nghiệm:
	
Tối thiểu 03 năm kinh nghiệm trong lĩnh vực Ngân hàng/Tài chính
Ưu tiên có kinh nghiệm làm việc hệ thống CRM/CRM SAP
Có kinh nghiệm ở vị trí Chuyên viên Quản lý Kho dữ liệu và mô hình dữ liệu/Phân tích dữ liệu/Phân tích yêu cầu nghiệp vụ (BA); Tối thiểu 03 năm kinh nghiệm trong lĩnh vực Ngân hàng/Tài chính; Ưu tiên có kinh nghiệm làm việc hệ thống CRM/CRM SAP; Có kinh nghiệm ở vị trí Chuyên viên Quản lý Kho dữ liệu và mô hình dữ liệu/Phân tích dữ liệu/Phân tích yêu cầu nghiệp vụ (BA); Ưu tiên: Ứng viên có chứng chỉ liên quan đến Data Governance, Data Quality, Data Management"
Chuyên viên Kiểm thử phần mềm (Automation Tester),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Lương: Cạnh tranh,Hà Nội,Hạn nộp: 31-12-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kiem-thu-phan-mem-automation-tester.35C293AD.html,"Tốt nghiệp từ Đại học trở lên, chuyên ngành CNTT, Điện tử viễn thông,...; Kinh nghiệm tối thiểu 02 năm tại vị trí Chuyên viên Công nghệ thông tin, Kiểm thử phần mềm hoặc tương đương; Thành thạo các ngôn ngữ lập trình như JavaScript, TypeScript; Có kinh nghiệm với Playwright hoặc các công cụ tương tự (ví dụ: Puppeteer, Selenium WebDriver); Hiểu biết về mô hình đối tượng trang (POM).; Hiểu biết sâu sắc về các nguyên tắc, phương pháp và thực hành kiểm thử phần mềm (ví dụ: kiểm thử đơn vị, kiểm thử tích hợp, kiểm thử hồi quy).; Kỹ năng xử lý sự cố tốt để xác định các sự cố trong tập lệnh và ứng dụng web.; Có kinh nghiệm với các hệ thống kiểm soát phiên bản như Git; Kiến thức về pipeline Tích hợp liên tục/Triển khai liên tục (CI/CD); Sử dụng thành thạo các phần mềm tin học văn phòng, gồm bộ công cụ Microsoft Office liên quan như Microsoft Office Word, Excel, Power Point, Outlook e-mail..; Khả năng chịu áp lực và cường độ công việc lớn; Giao tiếp tốt, tuy duy hệ thống, khả năng ra quyết định; Có tính kỷ luật cao"
Chuyên viên Phát triển Phần mềm Ứng dụng,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Lương: Cạnh tranh,Hà Nội,Hạn nộp: 31-12-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-phan-mem-ung-dung.35C2939D.html,"Học vấn: Tốt nghiệp Đại học loại Khá trở lên các ngành CNTT/Toán tin/Hệ thống thông tin quản lý/Lập trình phần mềm.; Tiếng Anh (nghe, nói, đọc, viết). Có khả năng đọc hiểu tiếng Anh chuyển ngành CNTT.; Yêu cầu về kỹ năng:; Kỹ năng làm việc độc lập và theo nhóm.; Kỹ năng tìm kiếm và nghiên cứu; Kỹ năng thích ứng cao; Ham học hỏi, nhiệt tình, chịu được áp lực trong công việc; Có kỹ năng giao tiếp, kinh nghiệm về trình bầy, thuyết trình và quản lý thời gian; Yêu thích các công việc có tính sáng tạo và nghiên cứu công nghệ mới, lĩnh vực mới; Kinh nghiệm:; Có kiến thức về lập trình hướng đối tượng.; Ưu tiên có kinh nghiệm làm dự án BPM/LOS; Có kinh nghiệm xây dựng các ứng dụng web trên nền Java, .Net; Có hiểu biết về các nền tảng:Java Core, Spring Framework, Hibernate, Transaction Management, Struts, JSP/Servlet, JDBC, JavaScript, HTML, CSS, .NET, MVC; Có hiểu biết và kinh nghiệm sử dụng Javascript, JSON, HTML5, CSS3.; Có hiểu biết về hệ quản trị CSDL Oracle, SQL Server.; Có kinh nghiệm làm các báo cáo trên nền Crystal Report, SAP. Có kinh nghiệm xây dựng báo cáo tài chính, turning báo cáo là một lợi thế.; Có kinh nghiệm trong lĩnh vực CNTT, Phân tích yêu cầu nghiệp vụ là một lợi thế.; Có kinh nghiệm về lĩnh vực nghiên cứu, triển khai các giải pháp CNTT trong lĩnh vực tài chính/ngân hàng là một lợi thế; Có kinh nghiệm về hệ điều hành Unix, Linux, AIX là một lợi thế.; Ứng viên có kinh nghiệm về thiết kế website, thành thạo Photoshop là một lợi thế.; Ứng viên có khả năng giao tiếp tốt bằng tiếng Anh là một lợi thế.; Tính cách:"
Chuyên viên Phân tích nghiệp vụ CNTT (Nghiệp vụ thẻ),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Lương: Cạnh tranh,Hà Nội,Hạn nộp: 31-12-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-nghiep-vu-cntt-nghiep-vu-the.35C293F7.html,"Kiến thức về quy trình phát triển phần mềm:; Có kiến thức về xây dựng tài liệu phân tích nghiệp vụ cho chủ đề dữ liệu cụ thể một cách chủ động.
Có kiến thức về xây dựng thiết kế luồng logic,; Có kiến thức về xây dựng tài liệu phân tích nghiệp vụ cho chủ đề dữ liệu cụ thể một cách chủ động.; Có kiến thức về xây dựng thiết kế luồng logic,; Kiến thức về dữ liệu, nghiệp vụ THẺ

Có kiến thức về hệ thống CORE THẺ của ngân hàng
Có kiến thức về các sản phẩm đặc trưng của các sản phẩm thẻ DEBIT, CREDIT
Có kiến thức về Nghiệp vụ thanh toán, các giao dịch liên quan đến thẻ DEBIT và CREDIT
Có kiến thức, hiểu biết về kết nối và thanh quyết toán với các tổ chức thẻ như: Napas, Visa, Master …; Có kiến thức về hệ thống CORE THẺ của ngân hàng; Có kiến thức về các sản phẩm đặc trưng của các sản phẩm thẻ DEBIT, CREDIT; Có kiến thức về Nghiệp vụ thanh toán, các giao dịch liên quan đến thẻ DEBIT và CREDIT; Có kiến thức, hiểu biết về kết nối và thanh quyết toán với các tổ chức thẻ như: Napas, Visa, Master …; Kiến thức về dữ liệu, nghiệp vụ Đối tác, Tích hợp hệ thống; Có kiến thức xây dựng tài liệu thiết kế tích hợp ứng dụng, tài liệu kỹ thuật một cách chủ động.
Có kiến thức xây dựng thiết kế mô hình logic, mô hình quan hệ giữa các thực thể, sơ đồ luồng tích hợp dữ liệu, luồng tích hợp hệ thống.; Có kiến thức xây dựng tài liệu thiết kế tích hợp ứng dụng, tài liệu kỹ thuật một cách chủ động.; Có kiến thức xây dựng thiết kế mô hình logic, mô hình quan hệ giữa các thực thể, sơ đồ luồng tích hợp dữ liệu, luồng tích hợp hệ thống.; Kỹ năng xây dựng tài liệu và HDSD; Phối hợp tham gia xây dựng tài liệu HDSD về các yêu cầu thay đổi và nhận diện được các điểm không phù hợp, cần cải tiến các HDSD nhằm đáp ứng nghiệp vụ thực tế trong quá trình vận hành 
Đào tạo hướng dẫn sử dụng; Phối hợp tham gia xây dựng tài liệu HDSD về các yêu cầu thay đổi và nhận diện được các điểm không phù hợp, cần cải tiến các HDSD nhằm đáp ứng nghiệp vụ thực tế trong quá trình vận hành; Đào tạo hướng dẫn sử dụng; Kỹ năng Kiểm thử phần mềm; Chủ động Lập kế hoạch kiểm thử là việc tạo ra một tài liệu mô tả tiếp cận tổng thể và các mục tiêu cần test bao gồm xem xét: cơ sở test, xác định các điều kiện dựa trên phân tích các mục thử test, viết các trường hợp và thiết kế môi trường test trên cơ sở phân tích và xem xét cơ sở test – thông tin dựa trên các trường hợp test, chẳng hạn như yêu cầu, đặc điểm thiết kế, phân tích rủi ro, kiến ​​trúc và giao diện.
Quản lý kết quả của việc thực hiện test, nhật ký kiểm thử ghi lại trạng thái của trường hợp test. (đạt / không đạt), so sánh kết quả thực tế với kết quả mong đợi.
Hướng dẫn các chuyên viên để thực hiện test thành công tiểu dự án/ dự án; Chủ động Lập kế hoạch kiểm thử là việc tạo ra một tài liệu mô tả tiếp cận tổng thể và các mục tiêu cần test bao gồm xem xét: cơ sở test, xác định các điều kiện dựa trên phân tích các mục thử test, viết các trường hợp và thiết kế môi trường test trên cơ sở phân tích và xem xét cơ sở test – thông tin dựa trên các trường hợp test, chẳng hạn như yêu cầu, đặc điểm thiết kế, phân tích rủi ro, kiến ​​trúc và giao diện.; Quản lý kết quả của việc thực hiện test, nhật ký kiểm thử ghi lại trạng thái của trường hợp test. (đạt / không đạt), so sánh kết quả thực tế với kết quả mong đợi.; Hướng dẫn các chuyên viên để thực hiện test thành công tiểu dự án/ dự án; Kỹ năng quản trị các dự án phát triển (Mini project): Xây dựng kế hoạch hoạt động, đào tạo và triển khai công cụ. Đề xuất phương án cải tiến trong hoạt động xây dựng kế hoạch hoạt động, đào tạo và triển khai công cụ quản lý dự án.; Ưu tiên ứng viên:; Đã Có kinh nghiệm phân các hệ thống phần mềm CNTT khác của Ngân hàng.
Đã từng tham gia triển khai dự án THẺ, các hệ thống tích hợp với hệ thống thẻ là một lợi thế.
Trình độ tiếng anh: đáp ứng trực tiếp triển khai dự án.; Đã Có kinh nghiệm phân các hệ thống phần mềm CNTT khác của Ngân hàng.; Đã từng tham gia triển khai dự án THẺ, các hệ thống tích hợp với hệ thống thẻ là một lợi thế.; Trình độ tiếng anh: đáp ứng trực tiếp triển khai dự án."
Chuyên viên phát triển CoreBank - Dự án nâng cấp CoreBanking,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Lương: Cạnh tranh,Hà Nội,Hạn nộp: 31-12-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-corebank-du-an-nang-cap-corebanking.35C293D3.html,"Tốt nghiệp các trường ĐH về CNTT; Có ít nhất 2 năm kinh nghiệm trong lĩnh vực CNTT, ưu tiên ứng viên hiểu biết về nghiệp vụ ngân hang và phát triển corebanking; Về chuyên môn:; Hiểu biết nguôn ngữ lập trình Java hoặc Auglar; Hiểu biết sau về phát triển package/Procedures/Funtion/Jobs/… trên cơ sở dữ liệu Oracle hoặc SQL server"
Chuyên Gia Thiết kế hệ thống CNTT - TA160,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Lương: Cạnh tranh,"Hà Nội
 Hồ Chí Minh",Hạn nộp: 30-12-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-thiet-ke-he-thong-cntt-ta160.35C2940B.html,"Specialized in IT, Banking and Finance, MBA/Bachelor’s degree and above; Being able to understand and catch-up quickly with various business processes/rules or new products.; Master of document BRD/ SRS/ FSD to describe Banking Products/processes; Experience in Software Analysis and Design, preferably using UML; Working with individual systems in LOS and Loan Processes; 5- 10 experience in Software Development; Experience in a particular banking domain for at least 3 years; Can communicate in English (mandatory); Can work as individual or as a team member, under stressful condition, good attitude; Responsible, Proactive and Ethical about secure Banking Data; Problem-solving skills, ability to work under high pressure and can-do attitude; Teamwork, careful, attention to detail, logical thinking; Competitive salary and bonus package; Staff loan with special interest rates; Traing courses based on the job, Training framework/Learning RoadMap for each positionInsurance in accordance with Labor + VPBank Care insurance for all employees. (insurance covered for family members for entitled employees);; Annual leave (varied based on job grade)Travel allowance; A dynamic and friendly working environment, full of great opportunities to develop your career and abundant interesting activities to join (Sports competitions, talent contests, teambuilding…)"
Senior Java Developer - Hanoi/HoChiMinh - TA160,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Lương: Cạnh tranh,"Hà Nội
 Hồ Chí Minh",Hạn nộp: 30-12-2024,https://careerviet.vn/vi/tim-viec-lam/senior-java-developer-hanoi-hochiminh-ta160.35C293C3.html,"Bachelor’s degree in Computer Science, Engineering, Mathematics or related field of study..; 3-7 years experiences in software development and at least 3 years in banking and fintech domain.; An understanding of bank business processes, fintech solution and constraints.; Expert in JAVA language, Spring boot, Hibernate, jpa, and solid work with IDE; Net Framework should be considered added skill.; Advanced Knowledge MS SQL, Oracle DBs; Having knowledge about microservice, Kubernetes, ability to config EKS.; Experience with source code management like Git, Gitlab, Jira.; Good understanding on webservice SOAP/Restful, Standard message JSON, XML, OOP, Design pattern ...; Knowledge on Angular, JS is big plus; Ability in English reading and writing (mandatory), and speaking, listening (preferable).; Teamwork, careful, attention to detail, logical thinking.; Problem-solving skills, ability to work under high pressure and can-do attitude.; Self-development and motivation skill."
Kiến trúc Ứng dụng,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Lương: Cạnh tranh,Hà Nội,Hạn nộp: 31-12-2024,https://careerviet.vn/vi/tim-viec-lam/kien-truc-ung-dung.35C293CD.html,"Đại học hoặc trên Đại học, chuyên ngành CNTT, ĐTVT hoặc các Chuyên ngành tương đương.; Kiến trúc và tổng quan hệ thống CNTT, chức năng các phần mềm hệ thống và phần mềm ứng dụng; Kiến thức về kiến trúc Mononithic mô hình 3 lớp, triến trúc hướng dịch vụ và kiến trúc Microservices, Docker, Docker Swarm, Kubernetes.; Kiến thức về dữ liệu CoreBank, CoreCard, Ebanking, ESBKiến thức hệ thống Central Logging, Central Monitoring.Kiến thức cơ bản về DevOp, lập trình có cấu trúc và lập trình hướng đối tượng (Java, Python…).; Có kinh nghiệm triển khai một trong các dự án Corebank/CoreCard/Ebanking/ESB với vai trò Tổ trưởng trở lên; Có kinh nghiệm ít nhất 4 năm chuyên môn trong mảng Quản trị Vận hành hoặc Phát triển Ứng dụng tại các tổ chức hoạt động trong lĩnh vực Ngân hàng/Tài chính.; Có kinh nghiệm vận hành triển khai kiến trúc Microservices trên nền tảng  Docker, Docker Swarm, Kubernetes.; Thành thạo trong việc cấu hình cài đặt trên môi trường Windows/Linux"
Chuyên viên Quản trị Vận hành Phần mềm Ứng dụng,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Lương: Cạnh tranh,Hà Nội,Hạn nộp: 31-12-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-van-hanh-phan-mem-ung-dung.35C2939A.html,Không có mô tả
Chuyên viên phát triển Tích hợp - Dự án nâng cấp CoreBanking,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Lương: Cạnh tranh,Hồ Chí Minh,Hạn nộp: 31-12-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-tich-hop-du-an-nang-cap-corebanking.35C293FB.html,Không có mô tả
